"session_id","scenario_name","participant_id","start_time","finish_time","browser_info","machine_info","finish_tag"
"161","108-2","108-2","2018-11-15 09:04:44","2018-11-15 09:26:20","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","","161-5bedac3c6230c4.80298795"
"162","149-2","149-2","2018-11-15 18:39:34","2018-11-15 19:11:45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","","162-5bee3571a18ca6.77812679"
"163","150-2","150-2","2018-11-16 15:57:37","2018-11-16 16:17:11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","","163-5bef5e07de5e60.55966650"
"164","101-2","101-2","2018-11-19 19:02:21","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","",""
"165","101-1","101-1","2018-11-20 08:37:18","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","",""
"166","101-2","101-2","2018-11-20 08:38:04","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","",""
"167","101-1","101-2","2018-11-20 14:43:55","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","",""
"168","185-1","185-1","2018-11-27 18:39:17","2018-11-27 19:12:44","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","","168-5bfe07aca31c50.88685066"
"169","186-1","186-1","2018-11-27 19:13:59","2018-11-27 19:55:06","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","","169-5bfe119ac84159.11056529"
"170","187-1","187-1","2018-11-28 15:23:41","2018-11-28 16:05:00","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36","","170-5bff2d2cb6f9a9.34032164"
"171","188-1","188-1","2018-11-28 16:06:30","2018-11-28 16:46:37","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36","","171-5bff36ed3c9d17.07701293"
"172","188-2","188-2","2018-11-29 18:57:47","2018-11-29 19:16:53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36","","172-5c00aba5d0ba16.28771110"
"173","186-2","186-2","2018-11-29 19:27:04","2018-11-29 19:52:45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36","","173-5c00b40d4edc96.03086865"
"174","185-2","185-2","2018-11-30 15:25:54","2018-11-30 15:55:56","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36","","174-5c01ce0ccbb3a9.71642415"
"175","187-2","187-2","2018-11-30 16:06:27","2018-11-30 16:37:15","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36","","175-5c01d7bb094602.13028529"
"176","199-1","199-1","2018-12-10 14:51:35","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36","",""
"177","199-1","199-1","2018-12-11 10:12:38","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.110 Safari/537.36","",""
"178","189-1","189-1","2019-01-29 18:56:36","2019-01-29 19:25:43","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36","","178-5c511937d46790.24076676"
"179","0","0","2019-02-06 12:23:52","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.81 Safari/537.36","",""
"180","100-2","100-2","2019-02-06 17:36:10","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36","",""
"181","112-1","demo","2019-02-08 12:40:19","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36","",""
"182","101-2","101-2","2019-02-14 14:17:02","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36","",""
"183","126-1","126-1","2019-03-07 23:41:01","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36","",""
"184","101-1","101-1","2019-05-10 11:18:04","","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36","",""
